rarity,card_type,subtype,color,cmc,power,toughness,mana_cost
common,Creature,Goblin,RG,5,3.0,5.0,{3}{R}{G}
uncommon,Creature,Vampire,B,3,3.0,2.0,{2}{B}
mythic,Instant,Equipment,W,3,,,{2}{W}
uncommon,Creature,Rat,U,6,5.0,5.0,{4}{U}{U}
uncommon,Creature,Nightmare,WU,7,5.0,10.0,{4}{W}{W}{U}
rare,Instant,none,W,4,,,{2}{W}{W}
rare,Creature,Angel,U,6,5.0,4.0,{5}{U}
common,Land,Other,colorless,0,,,{0}
common,Creature,Other,colorless,1,0.0,1.0,{1}
uncommon,Creature,Wall,B,5,3.0,4.0,{4}{B}
common,Creature,Lizard,B,1,1.0,1.0,{B}
common,Creature,Vampire,B,4,7.0,4.0,{3}{B}
common,Enchantment,Equipment,colorless,1,,,{1}
uncommon,Instant,none,BR,5,,,{3}{B}{R}
common,Enchantment,Gate,colorless,1,,,{1}
rare,Creature,Vampire,UB,5,5.0,3.0,{3}{U}{B}
uncommon,Creature,Other,RG,4,4.0,2.0,{1}{R}{G}{G}
rare,Creature,Human,UG,6,5.0,4.0,{U}{G}{G}{G}{G}{G}
rare,Creature,Rat,G,7,3.0,7.0,{2}{G}{G}{G}{G}{G}
rare,Sorcery,none,colorless,2,,,{2}
rare,Creature,Rabbit,WR,4,4.0,4.0,{2}{W}{R}
uncommon,Enchantment,Room,colorless,2,,,{2}
common,Instant,none,B,2,,,{1}{B}
common,Instant,none,R,4,,,{3}{R}
common,Creature,Demon,UB,3,1.0,4.0,{1}{U}{B}
rare,Creature,Dragon,R,7,10.0,10.0,{5}{R}{R}
common,Land,Other,colorless,0,,,{0}
rare,Creature,Human,G,2,2.0,1.0,{1}{G}
uncommon,Instant,none,U,5,,,{3}{U}{U}
rare,Sorcery,none,B,5,,,{3}{B}{B}
rare,Creature,Beast,G,3,4.0,3.0,{G}{G}{G}
uncommon,Creature,Spirit,B,5,3.0,4.0,{4}{B}
uncommon,Instant,none,WB,5,,,{3}{W}{B}
uncommon,Creature,Angel,W,3,3.0,2.0,{2}{W}
rare,Creature,Other,U,3,2.0,4.0,{2}{U}
uncommon,Creature,Zombie,B,3,3.0,4.0,{2}{B}
uncommon,Enchantment,Case,WB,3,,,{1}{W}{B}
rare,Creature,Other,G,4,6.0,5.0,{2}{G}{G}
rare,Creature,Beast,WG,5,5.0,7.0,{3}{W}{G}
rare,Artifact,Vehicle,BG,7,15.0,6.0,{5}{B}{G}
rare,Creature,Other,WB,6,6.0,3.0,{4}{W}{B}
uncommon,Creature,Dragon,R,1,1.0,1.0,{R}
uncommon,Instant,none,WBG,6,,,{2}{W}{B}{G}{G}
common,Artifact,none,W,7,,,{6}{W}
rare,Enchantment,Room,WU,5,,,{2}{W}{W}{U}
common,Artifact,Equipment,colorless,0,,,{0}
uncommon,Enchantment,none,WG,4,,,{2}{W}{G}
uncommon,Enchantment,Aura,U,5,,,{4}{U}
common,Creature,Otter,U,4,3.0,3.0,{2}{U}{U}
mythic,Creature,Vampire,U,6,6.0,6.0,{4}{U}{U}
uncommon,Enchantment,none,colorless,7,,,{7}
rare,Creature,Mouse,BG,7,11.0,7.0,{5}{B}{G}
mythic,Artifact,Other,W,1,,,{W}
common,Land,none,colorless,0,,,{0}
common,Creature,Golem,BG,7,4.0,9.0,{3}{B}{G}{G}{G}
uncommon,Creature,Insect,W,1,0.0,1.0,{W}
uncommon,Creature,Vampire,B,4,8.0,8.0,{2}{B}{B}
uncommon,Creature,Other,G,1,1.0,2.0,{G}
uncommon,Creature,Raccoon,G,3,4.0,2.0,{2}{G}
uncommon,Sorcery,none,G,3,,,{2}{G}
uncommon,Creature,Raccoon,G,4,5.0,3.0,{3}{G}
uncommon,Creature,Dragon,W,4,1.0,4.0,{3}{W}
uncommon,Instant,none,WB,3,,,{1}{W}{B}
uncommon,Creature,Rabbit,colorless,1,0.0,1.0,{1}
common,Creature,Human,B,1,1.0,1.0,{B}
common,Creature,Human,WB,4,0.0,4.0,{2}{W}{B}
uncommon,Enchantment,none,B,3,,,{1}{B}{B}
rare,Creature,Avatar,WR,3,2.0,2.0,{1}{W}{R}
rare,Artifact,none,colorless,0,,,{0}
rare,Artifact,Clue,colorless,3,2.0,3.0,{3}
uncommon,Creature,Elemental,WG,10,6.0,8.0,{6}{W}{W}{G}{G}
uncommon,Creature,Vampire,R,3,1.0,3.0,{2}{R}
uncommon,Sorcery,none,R,5,,,{4}{R}
uncommon,Enchantment,Aura,G,3,,,{2}{G}
uncommon,Enchantment,none,U,6,,,{4}{U}{U}
common,Instant,Case,G,1,,,{G}
rare,Instant,none,UB,5,,,{3}{U}{B}
common,Artifact,none,colorless,0,,,{0}
common,Creature,Squirrel,colorless,2,1.0,1.0,{2}
rare,Creature,Raccoon,colorless,3,2.0,2.0,{3}
rare,Creature,Elf,RG,7,7.0,15.0,{4}{R}{R}{G}
common,Creature,Zombie,B,5,4.0,4.0,{4}{B}
rare,Creature,Avatar,BG,4,4.0,4.0,{B}{B}{G}{G}
uncommon,Creature,Human,G,8,8.0,5.0,{5}{G}{G}{G}
rare,Land,none,colorless,0,,,{0}
common,Creature,Golem,WUB,8,6.0,6.0,{3}{W}{W}{U}{U}{B}
uncommon,Instant,none,B,2,,,{1}{B}
mythic,Creature,Vampire,B,6,10.0,4.0,{4}{B}{B}
mythic,Enchantment,none,G,1,,,{G}
common,Creature,Construct,colorless,3,4.0,2.0,{3}
mythic,Enchantment,Class,WUB,8,,,{4}{W}{W}{U}{B}
uncommon,Enchantment,Gate,colorless,0,,,{0}
uncommon,Creature,Human,WU,4,3.0,2.0,{2}{W}{U}
rare,Enchantment,Other,WBG,7,,,{2}{W}{W}{B}{G}{G}
common,Enchantment,none,U,1,,,{U}
uncommon,Creature,Elemental,W,3,2.0,1.0,{1}{W}{W}
common,Sorcery,none,G,6,,,{5}{G}
mythic,Creature,Vampire,B,5,5.0,4.0,{3}{B}{B}
common,Instant,Equipment,colorless,0,,,{0}
uncommon,Creature,Goblin,colorless,3,3.0,2.0,{3}
uncommon,Artifact,Other,G,4,,,{3}{G}
rare,Creature,Toy,R,1,1.0,1.0,{R}
rare,Sorcery,none,R,4,,,{2}{R}{R}
uncommon,Enchantment,Other,U,5,,,{3}{U}{U}
rare,Artifact,none,B,3,,,{2}{B}
uncommon,Enchantment,none,B,5,,,{3}{B}{B}
common,Artifact,none,R,3,,,{2}{R}
uncommon,Creature,Human,W,5,5.0,4.0,{4}{W}
rare,Instant,Other,W,4,,,{3}{W}
uncommon,Instant,none,U,5,,,{4}{U}
common,Creature,Merfolk,W,8,6.0,6.0,{7}{W}
mythic,Creature,Raccoon,WU,3,2.0,7.0,{W}{W}{U}
uncommon,Enchantment,none,G,2,,,{1}{G}
mythic,Enchantment,Gate,G,3,,,{2}{G}
common,Creature,Vampire,B,4,4.0,3.0,{3}{B}
uncommon,Creature,Other,G,1,2.0,1.0,{G}
mythic,Creature,Beast,G,6,5.0,9.0,{5}{G}
rare,Sorcery,none,WR,6,,,{2}{W}{R}{R}{R}
rare,Creature,Dinosaur,RG,2,3.0,4.0,{R}{G}
common,Sorcery,none,B,3,,,{2}{B}
mythic,Enchantment,none,B,3,,,{2}{B}
rare,Sorcery,none,G,3,,,{2}{G}
common,Land,none,BG,3,,,{B}{G}{G}
uncommon,Instant,none,BG,3,,,{1}{B}{G}
uncommon,Creature,Elemental,W,2,2.0,1.0,{1}{W}
common,Creature,Lizard,UB,6,5.0,4.0,{4}{U}{B}
uncommon,Creature,Wall,RG,2,2.0,2.0,{R}{G}
uncommon,Instant,none,WU,3,,,{1}{W}{U}
uncommon,Creature,Vampire,colorless,1,1.0,3.0,{1}
uncommon,Creature,Dragon,R,6,11.0,5.0,{4}{R}{R}
common,Creature,Dragon,RG,2,3.0,2.0,{R}{G}
rare,Creature,Merfolk,BR,7,7.0,7.0,{3}{B}{B}{R}{R}
uncommon,Creature,Merfolk,colorless,1,1.0,1.0,{1}
rare,Creature,Spider,colorless,3,1.0,3.0,{3}
uncommon,Instant,none,R,3,,,{2}{R}
rare,Creature,Other,BG,3,2.0,7.0,{1}{B}{G}
uncommon,Creature,Wall,colorless,4,3.0,4.0,{4}
uncommon,Creature,Vampire,UB,5,2.0,4.0,{2}{U}{U}{B}
uncommon,Sorcery,none,BR,2,,,{B}{R}
mythic,Sorcery,none,B,5,,,{3}{B}{B}
rare,Creature,Elf,RG,2,2.0,3.0,{R}{G}
rare,Creature,Vampire,B,4,4.0,2.0,{2}{B}{B}
rare,Creature,Frog,R,2,1.0,3.0,{R}{R}
common,Creature,Golem,RG,7,8.0,9.0,{4}{R}{R}{G}
uncommon,Enchantment,none,UR,3,,,{1}{U}{R}
common,Instant,none,colorless,6,,,{6}
uncommon,Creature,Lizard,WB,4,4.0,3.0,{W}{B}{B}{B}
uncommon,Instant,none,colorless,2,,,{2}
uncommon,Enchantment,Aura,WUG,5,,,{2}{W}{U}{G}
common,Enchantment,none,R,2,,,{1}{R}
uncommon,Sorcery,Equipment,colorless,2,,,{2}
rare,Enchantment,none,BG,6,,,{3}{B}{G}{G}
mythic,Creature,Zombie,B,6,2.0,4.0,{4}{B}{B}
rare,Enchantment,none,U,3,,,{2}{U}
uncommon,Artifact,none,colorless,0,,,{0}
rare,Creature,Merfolk,WUR,4,7.0,4.0,{1}{W}{U}{R}
rare,Creature,Elemental,W,5,3.0,2.0,{4}{W}
mythic,Creature,Toy,W,3,1.0,3.0,{2}{W}
common,Instant,none,UR,4,,,{1}{U}{U}{R}
uncommon,Enchantment,none,B,2,,,{1}{B}
uncommon,Creature,Bird,WB,2,1.0,2.0,{W}{B}
uncommon,Creature,Bird,BR,9,15.0,7.0,{6}{B}{R}{R}
common,Creature,Merfolk,B,6,4.0,6.0,{5}{B}
rare,Land,none,colorless,0,,,{0}
uncommon,Creature,Demon,B,5,10.0,5.0,{4}{B}
common,Creature,Vampire,WB,5,3.0,3.0,{3}{W}{B}
uncommon,Creature,Avatar,U,2,1.0,3.0,{1}{U}
rare,Creature,Dragon,R,4,6.0,3.0,{2}{R}{R}
uncommon,Creature,Clue,B,4,4.0,3.0,{3}{B}
uncommon,Creature,Demon,UR,8,7.0,6.0,{3}{U}{U}{R}{R}{R}
mythic,Creature,Other,U,5,4.0,2.0,{3}{U}{U}
mythic,Creature,Bat,WB,8,8.0,4.0,{4}{W}{W}{B}{B}
uncommon,Instant,none,B,3,,,{1}{B}{B}
uncommon,Instant,none,W,1,,,{W}
rare,Creature,Angel,W,3,6.0,2.0,{2}{W}
common,Artifact,none,U,1,,,{U}
common,Artifact,Other,U,3,,,{2}{U}
uncommon,Creature,Cat,BG,6,4.0,8.0,{3}{B}{B}{G}
uncommon,Creature,Human,B,3,4.0,2.0,{2}{B}
common,Creature,Vampire,R,4,4.0,3.0,{3}{R}
rare,Enchantment,none,UB,6,,,{3}{U}{U}{B}
uncommon,Creature,Other,U,6,4.0,5.0,{4}{U}{U}
mythic,Enchantment,none,colorless,1,,,{1}
mythic,Creature,Human,G,3,3.0,3.0,{2}{G}
rare,Creature,Angel,UR,6,5.0,4.0,{4}{U}{R}
mythic,Creature,Merfolk,U,4,5.0,5.0,{3}{U}
uncommon,Creature,Vampire,B,6,5.0,5.0,{4}{B}{B}
uncommon,Creature,Human,WG,3,4.0,2.0,{1}{W}{G}
rare,Enchantment,Aura,U,2,,,{1}{U}
uncommon,Planeswalker,none,colorless,5,,,{5}
rare,Sorcery,none,R,3,,,{2}{R}
common,Artifact,Vehicle,W,5,3.0,4.0,{3}{W}{W}
mythic,Creature,Cat,WU,5,4.0,4.0,{2}{W}{U}{U}
uncommon,Enchantment,none,colorless,1,,,{1}
uncommon,Creature,Other,U,7,7.0,5.0,{4}{U}{U}{U}
uncommon,Instant,none,W,2,,,{W}{W}
common,Creature,Other,colorless,3,3.0,2.0,{3}
uncommon,Creature,Merfolk,B,3,3.0,2.0,{2}{B}
rare,Artifact,Other,R,4,,,{3}{R}
uncommon,Sorcery,none,G,3,,,{2}{G}
rare,Enchantment,none,U,2,,,{U}{U}
uncommon,Creature,Other,U,3,1.0,4.0,{2}{U}
uncommon,Creature,Human,colorless,3,1.0,3.0,{3}
uncommon,Land,Gate,W,1,,,{W}
uncommon,Instant,none,WR,3,,,{1}{W}{R}
mythic,Enchantment,Case,B,3,,,{2}{B}
mythic,Enchantment,Room,B,3,,,{2}{B}
common,Sorcery,none,B,4,,,{3}{B}
mythic,Enchantment,none,B,4,,,{2}{B}{B}
rare,Artifact,Other,colorless,0,,,{0}
uncommon,Enchantment,Class,colorless,3,,,{3}
mythic,Creature,Dinosaur,W,1,1.0,1.0,{W}
uncommon,Sorcery,none,B,5,,,{3}{B}{B}
common,Creature,Raccoon,G,4,10.0,4.0,{3}{G}
uncommon,Creature,Rabbit,B,3,2.0,2.0,{2}{B}
uncommon,Creature,Other,G,4,2.0,4.0,{3}{G}
uncommon,Creature,Construct,colorless,3,2.0,2.0,{3}
common,Creature,Lizard,B,4,4.0,4.0,{3}{B}
uncommon,Artifact,Nightmare,UG,5,4.0,3.0,{3}{U}{G}
uncommon,Creature,Other,G,1,1.0,1.0,{G}
rare,Enchantment,Room,W,4,,,{2}{W}{W}
rare,Creature,Other,W,6,3.0,3.0,{5}{W}
rare,Sorcery,none,WB,4,,,{2}{W}{B}
uncommon,Creature,Other,R,1,1.0,1.0,{R}
mythic,Instant,none,U,5,,,{3}{U}{U}
mythic,Creature,Vampire,B,2,2.0,2.0,{B}{B}
uncommon,Enchantment,none,U,4,,,{3}{U}
uncommon,Instant,none,U,1,,,{U}
mythic,Creature,Nightmare,colorless,3,2.0,2.0,{3}
common,Creature,Vampire,B,3,2.0,2.0,{2}{B}
uncommon,Sorcery,none,B,4,,,{3}{B}
rare,Artifact,Elemental,B,6,5.0,5.0,{3}{B}{B}{B}
rare,Creature,Dragon,U,3,3.0,2.0,{2}{U}
uncommon,Creature,Zombie,WUR,8,11.0,6.0,{5}{W}{U}{R}
mythic,Creature,Goblin,R,2,2.0,1.0,{R}{R}
uncommon,Artifact,Vampire,B,5,4.0,4.0,{3}{B}{B}
uncommon,Instant,none,BR,6,,,{4}{B}{R}
mythic,Enchantment,none,G,4,,,{2}{G}{G}
common,Creature,Other,B,3,2.0,2.0,{2}{B}
rare,Artifact,Room,colorless,0,,,{0}
rare,Instant,none,colorless,1,,,{1}
common,Creature,Human,W,4,2.0,4.0,{3}{W}
common,Creature,Spirit,B,4,4.0,3.0,{3}{B}
uncommon,Creature,Nightmare,BG,6,11.0,5.0,{3}{B}{G}{G}
common,Creature,Vampire,B,5,5.0,3.0,{3}{B}{B}
rare,Creature,Other,U,4,2.0,5.0,{3}{U}
uncommon,Enchantment,Room,WG,5,,,{2}{W}{G}{G}
mythic,Creature,Human,U,1,1.0,1.0,{U}
rare,Sorcery,none,colorless,0,,,{0}
rare,Enchantment,none,WR,4,,,{2}{W}{R}
uncommon,Enchantment,none,W,2,,,{1}{W}
uncommon,Creature,Other,U,3,3.0,4.0,{2}{U}
uncommon,Enchantment,Case,W,8,,,{7}{W}
rare,Enchantment,Aura,colorless,0,,,{0}
common,Creature,Other,G,3,2.0,4.0,{2}{G}
